sentences,category
Schedule a dentist appointment.,Random
Enable airplane mode.,Random
What’s the capital of Canada?,Random
Download the latest podcast.,Random
How do I reset my password?,Random
Convert 100 dollars to euros.,Random
Send a text to John saying “I’ll be late.”,Random
How do I improve my sleep?,Random
Check traffic conditions to the office.,Random
Share my location with my family.,Random
Find a good workout routine for beginners.,Random
How’s the air quality today?,Random
Block spam calls on my phone.,Random
Set a reminder to pay the electricity bill.,Random
Delete old photos from my gallery.,Random
Search for vegan recipes.,Random
Create a backup of my files.,Random
Open the Amazon shopping app.,Random
Suggest a book on productivity.,Random
How do I change the Wi-Fi password?,Random
Schedule a pickup for my courier.,Random
Show me photos from last December.,Random
Calculate 25% of 450.,Random
Change my ringtone to something upbeat.,Random
What’s the score of the latest cricket match?,Random
Teach me a new language.,Random
Start a meditation session.,Random
Check flight status to New York.,Random
Turn off Bluetooth.,Random
How to apply for a passport?,Random
Add a note for my grocery list.,Random
Open YouTube and play cooking videos.,Random
What are the symptoms of flu?,Random
Schedule a car service for next week.,Random
Locate my parked car.,Random
Share this document with my manager.,Random
Search for the best smartphones in 2025.,Random
Play a relaxing sound to help me sleep.,Random
Set my phone to silent mode.,Random
Define “Artificial Intelligence.”,Random
Update me on my Amazon order.,Random
Send birthday wishes to Priya.,Random
How do I book a doctor’s appointment online?,Random
What’s the current price of gold?,Random
Remind me to water the plants tomorrow.,Random
Tell me a fun fact.,Random
How do I activate dark mode?,Random
Show me trending YouTube videos.,Random
Lock my phone now.,Random
Check the battery percentage.,Random
Guide me to the nearest gas station.,Random
How do I register for an online course?,Random
Turn on do not disturb mode.,Random
Search for nearby gyms.,Random
Show my workout progress from last week.,Random
Find flights to London.,Random
What’s the time in Tokyo?,Random
Show me motivational quotes.,Random
Tell me today’s horoscope.,Random
Add 2 kg of sugar to my cart.,Random
How to use Google Drive effectively?,Random
Delete cache from my phone.,Random
Check availability of rooms in Marriott.,Random
How do I upgrade my Netflix plan?,Random
Order groceries from BigBasket.,Random
Calculate the EMI for a 5 lakh loan.,Random
Show me pet care tips.,Random
How do I create a strong password?,Random
Suggest some picnic spots nearby.,Random
How do I block a number?,Random
Add eggs and bread to my shopping list.,Random
Enable dark mode in my browser.,Random
Show the best tourist places in Paris.,Random
Play the latest episode of my favorite series.,Random
Check my Wi-Fi speed.,Random
How do I customize my home screen?,Random
Create a playlist of relaxing songs.,Random
Set a reminder to take medicine at 9 PM.,Random
What’s the population of Japan?,Random
Open Netflix and show trending shows.,Random
Suggest a good place for dinner tonight.,Random
Add milk and bread to my shopping list.,Random
How do I reset my smart TV?,Random
Share my contact details with Alex.,Random
Book a ticket for the Avengers movie.,Random
What are the benefits of green tea?,Random
Help me locate my lost phone.,Random
How can I improve my focus?,Random
Search for the best wireless earbuds.,Random
Translate “good morning” to Spanish.,Random
Create an event for tomorrow’s meeting.,Random
Set a countdown timer for 10 minutes.,Random
Find the nearest public restroom.,Random
Recommend a podcast about technology.,Random
How do I delete my browsing history?,Random
Enable battery saver mode.,Random
Check the traffic on my way home.,Random
What’s the latest update on climate change?,Random
Show me the top 10 places to visit in Italy.,Random
Schedule a workout session for 5 PM.,Random
Turn off mobile data after 30 minutes.,Random
Open Instagram and show recent posts.,Random
Check if my package has been delivered.,Random
What’s the latest update in the stock market?,Random
Send an invitation for the office party.,Random
Save this document to Google Drive.,Random
Search for the best cameras for vlogging.,Random
Mute notifications for the next hour.,Random
Check my screen time for the day.,Random
Show me recipes for keto diet meals.,Random
Find a study playlist on Spotify.,Random
Set a goal to read 5 books this month.,Random
How do I change my profile picture?,Random
Show me the latest gadgets released.,Random
Recommend some TED Talks on leadership.,Random
Find cheap flights to Singapore.,Random
Open my fitness app and check progress.,Random
How do I protect my phone from viruses?,Random
Set a bedtime reminder for 11 PM.,Random
Download offline maps for New York.,Random
Search for best budget hotels in Goa.,Random
Open my saved articles on Medium.,Random
Check if the football match is live.,Random
Suggest a documentary on mental health.,Random
How do I change the ringtone on my phone?,Random
Show nearby electric vehicle charging stations.,Random
Add spinach and avocados to my grocery list.,Random
Create a backup of my WhatsApp chats.,Random
Turn off silent mode after 1 hour.,Random
Enable location services.,Random
Suggest some home workout exercises.,Random
What are the symptoms of dehydration?,Random
Open the Kindle app and show my books.,Random
Send a meeting invite to the marketing team.,Random
How do I export my contacts?,Random
Check my internet speed.,Random
Tell me a bedtime story.,Random
Open Zoom and start a meeting.,Random
Recommend an audiobook for self-improvement.,Random
Block all unknown callers.,Random
Search for best trekking spots nearby.,Random
Update my emergency contacts.,Random
What are the best vegan protein sources?,Random
Set a countdown for my laundry.,Random
Suggest a weekend getaway.,Random
Open my reminders list.,Random
Show the nearest fuel station.,Random
Suggest alternatives to sugar.,Random
Open Chrome and search for latest news.,Random
Guide me on how to meditate properly.,Random
Check the best-selling novels this year.,Random
Start a voice recording.,Random
Show me my pending tasks for today.,Random
How do I update my LinkedIn profile?,Random
Find public transport options to my office.,Random
Suggest a good skincare routine.,Random
Download a PDF of my train ticket.,Random
Search for trending Twitter hashtags.,Random
Schedule a meeting with the HR team.,Random
Recommend low-carb recipes.,Random
Open Google Maps and find the shortest route.,Random
What are the benefits of intermittent fasting?,Random
Show nearby parks for walking.,Random
How do I change my WhatsApp privacy settings?,Random
Check the current humidity levels.,Random
Open the weather app and show the forecast.,Random
Enable parental controls on YouTube.,Random
Find nearby ATMs with no withdrawal fees.,Random
Search for budget-friendly international trips.,Random
Schedule a haircut appointment.,Random
Add yoga sessions to my daily routine.,Random
Track my package from Amazon.,Random
Download the latest version of WhatsApp.,Random
Set a reminder for a doctor’s appointment.,Random
Suggest healthy breakfast ideas.,Random
Search for best deals on smartphones.,Random
How much have I gained from my mutual funds?,Check Portfolio
Tell me how much I have lost in mutual funds,Check Portfolio
What's my total profit from mutual funds?,Check Portfolio
How much have I earned through SIP investments?,Check Portfolio
What is my portfolio balance?,Check Portfolio
What is my folio balance?,Check Portfolio
Give breakdown of my portfolio,Check Portfolio
Check my overall returns from mutual funds,Check Portfolio
How much have I made in the last year from mutual funds?,Check Portfolio
What is my total gain from all my investments?,Check Portfolio
Tell me my highest profit from invested funds,Check Portfolio
How much have I lost in over my investments?,Check Portfolio
Check my mutual fund earnings for this quarter,Check Portfolio
Show me my daily gain or loss in mutual funds,Check Portfolio
Tell me if I am in profit or loss right now,Check Portfolio
How much have I withdrawn versus earned?,Check Portfolio
What's my net gain after all deductions in mutual funds?,Check Portfolio
How much have I profited from my SIPs?,Check Portfolio
What's my overall gain percentage from mutual funds?,Check Portfolio
Tell me my investment growth over the last five years,Check Portfolio
How much have I lost in over the year?,Check Portfolio
Check my overall profits,Check Portfolio
Show my mutual fund portfolio,Check Portfolio
How is my portfolio performing today?,Check Portfolio
Check my portfolio returns,Check Portfolio
Tell me the total value of my portfolio,Check Portfolio
What are the top funds in my portfolio?,Check Portfolio
What is the asset allocation in my portfolio?,Check Portfolio
How much have I invested in mutual funds?,Check Portfolio
Show me my SIP investments,Check Portfolio
Tell me my total returns from mutual funds,Check Portfolio
Which of my funds gave the highest returns?,Check Portfolio
Check my investments,Check Portfolio
What's my profit from mutual funds this year?,Check Portfolio
What is my XIRR for mutual funds?,Check Portfolio
How much have I earned from mutual funds?,Check Portfolio
Compare my investments with Nifty 50 returns,Check Portfolio
Tell me if any of my funds are in loss,Check Portfolio
Show me my top-performing mutual funds,Check Portfolio
How much did I invest in ELSS for tax saving?,Check Portfolio
Tell me if my SIPs have outperformed the benchmark.,Check Portfolio
Show me unrealized gains in my mutual funds.,Check Portfolio
What percentage of my portfolio is in mid-cap funds?,Check Portfolio
How much have I gained from tax-saving mutual funds?,Check Portfolio
Show me my best-performing SIPs.,Check Portfolio
What’s my net portfolio value after redemptions?,Check Portfolio
How much of my portfolio is in large-cap funds?,Check Portfolio
Show me the returns from my small-cap investments.,Check Portfolio
How much of my mutual fund is in equity?,Check Portfolio
What is the percentage of debt funds in my portfolio?,Check Portfolio
Show me my sector-wise mutual fund allocation.,Check Portfolio
How much have I earned from liquid funds?,Check Portfolio
Tell me the performance of my ELSS funds.,Check Portfolio
Check the profit and loss from hybrid funds.,Check Portfolio
Show me returns from my debt fund investments.,Check Portfolio
How much have I invested in equity funds?,Check Portfolio
What is the split between equity and debt in my portfolio?,Check Portfolio
check my investments,Check Portfolio
show how much I have invested,Check Portfolio
check my investments,Check Portfolio
show how much I have invested,Check Portfolio
Show me the allocation of my mutual funds.,Check Portfolio
How much of my SIPs are in equity funds?,Check Portfolio
"What is my exposure to large-cap, mid-cap, and small-cap funds?",Check Portfolio
Show me my unrealized and realized gains separately.,Check Portfolio
How have my hybrid funds performed over time?,Check Portfolio
Give me a comparison of my debt and equity returns.,Check Portfolio
Show me the top-performing asset class in my portfolio.,Check Portfolio
How much of my portfolio is in international mutual funds?,Check Portfolio
What percentage of my investments are in ELSS?,Check Portfolio
Check if my portfolio allocation matches my risk profile.,Check Portfolio
Tell me the percentage split between direct and regular plans.,Check Portfolio
How much have I invested in multi-cap funds?,Check Portfolio
What is my asset class-wise return summary?,Check Portfolio
Show me my folio-wise investment breakdown.,Check Portfolio
How much have I invested in balanced advantage funds?,Check Portfolio
Show me returns from my thematic and sectoral funds.,Check Portfolio
What portion of my SIPs goes to debt funds?,Check Portfolio
How much have I gained from large-cap funds?,Check Portfolio
What’s my total return from liquid and overnight funds?,Check Portfolio
How much of my SIPs are allocated to ELSS funds?,Check Portfolio
Show me my cumulative investments across all folios.,Check Portfolio
How much of my portfolio is in index funds?,Check Portfolio
Give me a summary of my direct vs. regular plan returns.,Check Portfolio
What is the overall percentage of my portfolio in hybrid funds?,Check Portfolio
Show me the split between growth and dividend plans.,Check Portfolio
How much of my mutual fund investments are in gold funds?,Check Portfolio
Tell me the sector-wise allocation of my equity funds.,Check Portfolio
Show me returns from my top 5 mutual funds.,Check Portfolio
How much of my money is in growth-oriented funds?,Check Portfolio
What is the percentage allocation between active and passive funds?,Check Portfolio
Show me my historical SIP contribution details.,Check Portfolio
Check my capital gains from equity mutual funds.,Check Portfolio
How much have I redeemed from debt mutual funds?,Check Portfolio
Show me the tax-saving potential of my ELSS investments.,Check Portfolio
How much of my portfolio is in flexi-cap funds?,Check Portfolio
What’s my current investment in hybrid mutual funds?,Check Portfolio
Show me my fund-wise contribution in SIPs.,Check Portfolio
How much of my portfolio is in balanced funds?,Check Portfolio
Show me my highest-earning fund in the last 12 months.,Check Portfolio
What is the XIRR of my hybrid fund investments?,Check Portfolio
Show me my investment distribution by asset type.,Check Portfolio
What is my allocation between short-term and long-term debt funds?,Check Portfolio
Check if any of my SIPs have negative returns.,Check Portfolio
How much of my portfolio is in conservative hybrid funds?,Check Portfolio
Show me my total investment in international equity funds.,Check Portfolio
What is my cumulative return from sectoral and thematic funds?,Check Portfolio
How much of my portfolio is in gilt funds?,Check Portfolio
Check my returns from arbitrage funds.,Check Portfolio
Show me my SIP schedule and upcoming contributions.,Check Portfolio
How much of my mutual funds are invested in small-cap funds?,Check Portfolio
What’s my profit or loss in SIPs this year?,Check Portfolio
Show my SIP returns in the last quarter.,Check Portfolio
How much have I gained or lost in the last 6 months?,Check Portfolio
What’s my current mutual fund valuation?,Check Portfolio
Give me the current NAV of my portfolio.,Check Portfolio
Show me my total invested amount in mutual funds.,Check Portfolio
How much of my mutual fund is in equity?,Check Portfolio
What is the percentage of debt funds in my portfolio?,Check Portfolio
Show me my sector-wise mutual fund allocation.,Check Portfolio
Check if my SIPs are in profit.,Check Portfolio
How much have I earned from liquid funds?,Check Portfolio
Tell me the performance of my ELSS funds.,Check Portfolio
Show me how my mutual funds performed in the last month.,Check Portfolio
How much did I invest in SIPs this year?,Check Portfolio
What’s the growth of my portfolio over 3 years?,Check Portfolio
Check the profit and loss from hybrid funds.,Check Portfolio
Show me returns from my debt fund investments.,Check Portfolio
How much have I invested in equity funds?,Check Portfolio
Check my SIP returns over the last 12 months.,Check Portfolio
What is my average return on mutual funds?,Check Portfolio
Show my cumulative gains from SIPs.,Check Portfolio
How much have I withdrawn from my investments?,Check Portfolio
Give me a summary of my mutual fund investments.,Check Portfolio
How much have I gained from tax-saving mutual funds?,Check Portfolio
Check my annual return percentage from mutual funds.,Check Portfolio
What’s my total investment across all schemes?,Check Portfolio
Show my investment history in mutual funds.,Check Portfolio
Check my daily profit and loss from SIPs.,Check Portfolio
What’s my net portfolio value after redemptions?,Check Portfolio
How much of my portfolio is in large-cap funds?,Check Portfolio
Show me the returns from my small-cap investments.,Check Portfolio
What’s my overall growth rate from mutual funds?,Check Portfolio
Tell me the XIRR of my portfolio.,Check Portfolio
How is my portfolio performing in the last 3 months?,Check Portfolio
Show me the last year’s returns from my mutual funds.,Check Portfolio
What is the annualized return of my portfolio?,Check Portfolio
Tell me if my SIPs have outperformed the benchmark.,Check Portfolio
How much have I earned in dividends from mutual funds?,Check Portfolio
Show me my best-performing SIPs.,Check Portfolio
How much do I need to invest to reach my target amount?,Check Portfolio
Show me unrealized gains in my mutual funds.,Check Portfolio
What percentage of my portfolio is in mid-cap funds?,Check Portfolio
Tell me my returns from mutual funds this financial year.,Check Portfolio
How much have I redeemed from my SIPs?,Check Portfolio
Show me the capital gains from my mutual funds.,Check Portfolio
What is the split between equity and debt in my portfolio?,Check Portfolio
How have my investments performed compared to last year?,Check Portfolio
Tell me the top 3 funds giving me the highest returns.,Check Portfolio
Show me my portfolio performance against Nifty 50.,Check Portfolio
What is my SIP contribution in the last 6 months?,Check Portfolio
Show me a summary of my mutual fund portfolio.,Check Portfolio
Check the total value of all my mutual funds.,Check Portfolio
Give me a quick snapshot of my investments.,Check Portfolio
What’s my current portfolio worth?,Check Portfolio
Show me my overall mutual fund balance.,Check Portfolio
How much have I invested across all funds?,Check Portfolio
What’s the present market value of my investments?,Check Portfolio
Show me my mutual fund valuation as of today.,Check Portfolio
Check my total invested amount so far.,Check Portfolio
How much of my portfolio is currently invested?,Check Portfolio
Show me the latest value of my folio.,Check Portfolio
What’s my net asset value after all deductions?,Check Portfolio
Give me the breakdown of my portfolio categories.,Check Portfolio
Show me the asset mix in my mutual fund holdings.,Check Portfolio
What’s my total folio balance today?,Check Portfolio
How much have I profited or lost from my mutual funds?,Check Portfolio
Show me my overall returns across all investments.,Check Portfolio
Tell me my total capital gains from mutual funds.,Check Portfolio
How much have I earned in the last 12 months?,Check Portfolio
Check if I’m in profit or loss currently.,Check Portfolio
How much have I gained from equity funds?,Check Portfolio
What’s my return percentage this year?,Check Portfolio
Show me the overall profit and loss from my SIPs.,Check Portfolio
How much have I lost in my mutual funds?,Check Portfolio
What’s my net gain after all withdrawals?,Check Portfolio
Show me the gains from my top 3 funds.,Check Portfolio
Tell me how much I’ve earned after deducting fees.,Check Portfolio
Check my total gains from tax-saving funds.,Check Portfolio
What’s my annualized return from mutual funds?,Check Portfolio
Show me the profits I’ve made in the last 5 years.,Check Portfolio
How much have I earned from hybrid fund investments?,Check Portfolio
Show me my portfolio growth over the last year.,Check Portfolio
What’s my XIRR from all investments?,Check Portfolio
Tell me how much I’ve gained from liquid funds.,Check Portfolio
Check if my portfolio is outperforming the market.,Check Portfolio
How much have I lost in SIPs this year?,Check Portfolio
Show me my investment growth rate.,Check Portfolio
Tell me my cumulative returns since I started investing.,Check Portfolio
What’s my portfolio performance compared to Nifty 50?,Check Portfolio
How much have I gained from my ELSS funds?,Check Portfolio
Show me my current asset allocation.,Check Portfolio
What percentage of my portfolio is in equity and debt?,Check Portfolio
Tell me how much of my investments are in SIPs.,Check Portfolio
"Show me the percentage of my funds in large-cap, mid-cap, and small-cap.",Check Portfolio
Check my exposure to small-cap funds.,Check Portfolio
How much of my portfolio is in hybrid funds?,Check Portfolio
Show me the split between growth and dividend plans.,Check Portfolio
What’s my allocation across various asset classes?,Check Portfolio
Show me how much of my portfolio is in gold funds.,Check Portfolio
How much have I invested in sectoral and thematic funds?,Check Portfolio
Show me my sector-wise mutual fund distribution.,Check Portfolio
Check the percentage of my portfolio in ELSS.,Check Portfolio
What’s the proportion of direct and regular plans in my folio?,Check Portfolio
Show me my total allocation to passive funds.,Check Portfolio
Tell me how much of my money is in index funds.,Check Portfolio
Check my debt fund versus equity fund exposure.,Check Portfolio
Show me my SIP-wise portfolio contribution.,Check Portfolio
How much of my SIPs are in equity-oriented schemes?,Check Portfolio
Show me the percentage split between active and passive investments.,Check Portfolio
How much of my mutual fund is in flexi-cap funds?,Check Portfolio
How much have I contributed through SIPs this year?,Check Portfolio
Show me the upcoming SIPs in my schedule.,Check Portfolio
What is my total SIP contribution so far?,Check Portfolio
Tell me my monthly SIP amount breakdown.,Check Portfolio
Show me the returns from my top SIPs.,Check Portfolio
How many active SIPs do I have currently?,Check Portfolio
Show me my SIP investment details for the past year.,Check Portfolio
Check if my SIPs have delivered consistent returns.,Check Portfolio
What’s the average return from my SIPs?,Check Portfolio
Show me the monthly returns from my SIPs.,Check Portfolio
How much have I invested in SIPs till now?,Check Portfolio
Show me the top-performing SIPs in my portfolio.,Check Portfolio
Check the returns from my SIPs over the last 5 years.,Check Portfolio
What’s my SIP growth rate?,Check Portfolio
Show me the gain from my SIP investments this quarter.,Check Portfolio
How much have I contributed to SIPs in ELSS funds?,Check Portfolio
Show me the XIRR from my SIPs.,Check Portfolio
Tell me my cumulative SIP returns.,Check Portfolio
What is my SIP contribution breakdown by asset class?,Check Portfolio
Show me the gains from my equity SIPs.,Check Portfolio
How is my portfolio performing against the market?,Check Portfolio
Check if any of my funds are underperforming.,Check Portfolio
Tell me which of my funds have outperformed the benchmark.,Check Portfolio
Show me the performance of my top 5 mutual funds.,Check Portfolio
Compare my portfolio returns with Nifty 50.,Check Portfolio
Show me the historical performance of my mutual funds.,Check Portfolio
What are the returns of my portfolio in the last 6 months?,Check Portfolio
Tell me if my equity funds are beating the index.,Check Portfolio
Show me my highest-performing mutual fund.,Check Portfolio
Check if my funds are generating alpha over the benchmark.,Check Portfolio
How do my hybrid funds compare to category averages?,Check Portfolio
Show me the performance of my sectoral funds.,Check Portfolio
How much have I gained compared to the market index?,Check Portfolio
What’s the annualized growth rate of my mutual funds?,Check Portfolio
Show me the consistency of my SIP returns.,Check Portfolio
Compare the performance of my ELSS with benchmark returns.,Check Portfolio
Show me the risk-adjusted returns of my portfolio.,Check Portfolio
Tell me which fund has the highest CAGR in my portfolio.,Check Portfolio
How much have my small-cap funds grown over 5 years?,Check Portfolio
Show me my overall investment performance compared to the category average.,Check Portfolio
Download my statement for the last 12 months.,previous statement
Fetch my mutual fund summary from the previous financial year.,previous statement
Get my account statement for the past fiscal year.,previous statement
Send me my investment statement for last year.,previous statement
Generate my mutual fund tax statement for the prior financial period.,previous statement
Download my holdings report from the last FY.,previous statement
Fetch my SIP transaction history for the last financial year.,previous statement
Give me my capital gains report for the preceding fiscal year.,previous statement
Show me the redemption and withdrawal details from last year.,previous statement
Provide my tax-saving investment summary for the last financial period.,previous statement
Get my ELSS contribution report for the prior FY.,previous statement
Generate my transaction summary for the past fiscal year.,previous statement
Download my capital gains statement from last year.,previous statement
Fetch my mutual fund statement for the past 12 months.,previous statement
Send me the tax statement for the last financial cycle.,previous statement
Show me my SIP returns report for the previous financial year.,previous statement
Download my investment performance report for the past year.,previous statement
Provide my annual mutual fund summary for last year.,previous statement
Get me the details of my holdings from the previous FY.,previous statement
Fetch my income and redemption report for the last fiscal year.,previous statement
Download my portfolio growth summary for the past year.,previous statement
Get my mutual fund contribution report for the prior financial year.,previous statement
Show me the SIP performance report for the preceding year.,previous statement
Generate a tax-saving statement for the previous fiscal year.,previous statement
Download the earnings and withdrawals statement from last year.,previous statement
Download my mutual fund statement for this year.,current statement
Fetch my account summary for the ongoing financial period.,current statement
Generate my capital gains statement for the current financial year.,current statement
Get my transaction report for this fiscal cycle.,current statement
Show me the SIP contribution details for the ongoing FY.,current statement
Download my tax-saving investment summary for this year.,current statement
Fetch my earnings and withdrawals statement for the current year.,current statement
Send me my investment summary for this fiscal year.,current statement
Provide a mutual fund tax report for the present financial year.,current statement
Show me the statement of my redemptions for this year.,current statement
Download my capital gains report for the running financial period.,current statement
Fetch my portfolio performance report for this year.,current statement
Generate my tax-saving summary for the existing FY.,current statement
Get me the SIP transaction history for the ongoing financial year.,current statement
Show me my account balance statement for the current fiscal cycle.,current statement
Download my investment details for the ongoing financial year.,current statement
Fetch the details of my holdings for the present FY.,current statement
Get me my earnings and withdrawal summary for this year.,current statement
Show me my SIP returns statement for this fiscal period.,current statement
Provide my mutual fund performance report for the current financial year.,current statement
Generate my tax statement for the running fiscal period.,current statement
Download my ELSS investment report for this year.,current statement
Fetch the summary of my mutual fund growth for the ongoing financial year.,current statement
Get me my portfolio contribution report for the current FY.,current statement
Send me my SIP and redemption statement for this year.,current statement
Get my mutual fund contribution statement for the ongoing financial year.,current statement
Download my SIP maturity report for the current year.,current statement
Show me my tax deduction details for this financial period.,current statement
Fetch my portfolio growth summary for the ongoing FY.,current statement
Provide my capital gains statement for this year.,current statement
Download my account history for the current financial year.,current statement
Get my detailed tax-saving investment report for this FY.,current statement
Show me the performance summary of my mutual funds for this year.,current statement
Fetch the redemption and withdrawal details from this fiscal period.,current statement
Download my earnings and losses report for the current financial cycle.,current statement
Provide my investment growth summary for the ongoing financial year.,current statement
Get me the portfolio allocation and performance for this fiscal year.,current statement
Show me the contribution breakdown of my SIPs for this year.,current statement
Download my folio-wise investment report for this financial year.,current statement
Fetch my capital gains and redemption details for the ongoing financial period.,current statement
Provide a complete statement of my mutual fund activities for this year.,current statement
Show me my tax-saving summary from the current financial year.,current statement
Download my account statement for the ongoing financial period.,current statement
Get my ELSS contribution report for the present fiscal year.,current statement
Fetch the details of my portfolio transactions for this year.,current statement
Provide a summary of my holdings for the current financial year.,current statement
Show me my investment growth over this financial period.,current statement
Download my SIP performance report for this year.,current statement
Get my earnings and redemption history for the ongoing financial year.,current statement
Fetch the statement of my dividends for this fiscal year.,current statement
Show me the returns and withdrawal summary for the current financial period.,current statement
Download my detailed portfolio performance report for this FY.,current statement
Provide the growth and contribution summary for this year.,current statement
Get me my capital appreciation statement for the current financial year.,current statement
Fetch my mutual fund tax-saving breakdown for the ongoing fiscal period.,current statement
Show me the SIP contribution schedule for this financial year.,current statement
Download my investment reconciliation report for this year.,current statement
Provide a portfolio performance comparison for the current year.,current statement
Get me the dividend and earnings summary for this financial period.,current statement
Fetch the capital gains and profit details from this year.,current statement
Download my tax-saving ELSS summary for the current financial year.,current statement
Show me the mutual fund performance analysis for this year.,current statement
Get my detailed contribution breakdown for the ongoing fiscal cycle.,current statement
Fetch the report of SIP profits and losses from this financial year.,current statement
Download my complete mutual fund history for this year.,current statement
Show me the statement of all my folios for the ongoing financial year.,current statement
Fetch my SIP contribution and maturity summary for the current year.,current statement
Get the investment details of all my mutual funds for this year.,current statement
Download my growth and allocation report for the current financial year.,current statement
Provide a tax summary and deduction breakdown for this financial period.,current statement
Get my capital gains and redemption statement for this FY.,current statement
Show me the overall performance of my portfolio this year.,current statement
Fetch the details of my SIP growth for the current financial cycle.,current statement
Download my investment return summary for this fiscal year.,current statement
Provide my folio-wise investment distribution for the ongoing financial year.,current statement
Get my detailed investment statement from the last financial year.,previous statement
Download my capital gains summary for the previous fiscal period.,previous statement
Show me my portfolio statement for the last FY.,previous statement
Fetch my tax deduction report from the past year.,previous statement
Provide a detailed report of my SIPs from the last financial year.,previous statement
Send me my earnings and withdrawals report for the prior year.,previous statement
Download my ELSS contribution report for the previous financial period.,previous statement
Get my statement of transactions for the last fiscal year.,previous statement
Fetch the details of my portfolio performance for the past year.,previous statement
Generate my tax summary for the previous financial year.,previous statement
Show me the redemption history from the last FY.,previous statement
Download the income and gains statement from the prior year.,previous statement
Provide my SIP deduction summary for the last financial period.,previous statement
Fetch my tax-saving mutual fund report for the previous FY.,previous statement
Download my statement of investments for the preceding year.,previous statement
Show me my mutual fund performance summary for the last financial year.,previous statement
Get me the details of all my contributions from the past year.,previous statement
Download my dividend and capital gains report for last year.,previous statement
Fetch the portfolio growth details from the previous financial cycle.,previous statement
Send me my account statement for the last financial year.,previous statement
Provide a breakdown of my redemptions from the last FY.,previous statement
Generate my capital appreciation report for the past year.,previous statement
Download the tax-saving contribution summary from last year.,previous statement
Show me the mutual fund activity report for the previous financial period.,previous statement
Fetch my holding pattern report from the prior year.,previous statement
Get me the complete tax statement for the last financial year.,previous statement
Provide my mutual fund growth report from the past year.,previous statement
Download the SIP maturity report for the previous FY.,previous statement
Show me my portfolio reconciliation for the prior financial year.,previous statement
Fetch the statement of net returns for last year.,previous statement
Get my report of SIP profits and losses from the previous financial year.,previous statement
Download my redemptions and capital gains summary for the past FY.,previous statement
Provide my investment growth summary for the preceding year.,previous statement
Show me the tax-saving ELSS report for the last financial year.,previous statement
Get me the complete mutual fund statement for the past financial period.,previous statement
Download my mutual fund tax deduction summary for last year.,previous statement
Fetch my account history for the previous financial year.,previous statement
Show me the SIP contribution breakdown for the last FY.,previous statement
Download my portfolio distribution report from the past year.,previous statement
Get my tax statement and transaction details for the prior FY.,previous statement
Fetch my portfolio allocation and performance for last year.,previous statement
Show me my total capital gains for the previous financial period.,previous statement
Provide my folio-wise contribution details from the last year.,previous statement
Download the investment income statement from the past financial year.,previous statement
Get my SIP earnings statement for the previous fiscal period.,previous statement
Show me the complete history of my mutual fund investments for last year.,previous statement
Fetch my mutual fund performance compared to the benchmark from the previous year.,previous statement
Provide my annual tax summary from the last FY.,previous statement
Download my dividend and interest income summary for the previous financial year.,previous statement
Get me my cumulative portfolio performance for the past year.,previous statement
Download my mutual fund statement.,download statement
Get my account statement.,download statement
Fetch my investment report.,download statement
Show my mutual fund transactions.,download statement
Send me my capital gains statement.,download statement
Generate my mutual fund statement.,download statement
Provide my transaction summary.,download statement
Download my SIP statement.,download statement
Get my holdings report.,download statement
Fetch my portfolio statement.,download statement
Show me my earnings and withdrawals.,download statement
Download my tax statement.,download statement
Generate my portfolio summary.,download statement
Provide my folio-wise report.,download statement
Show me my investment growth.,download statement
Download my portfolio distribution.,download statement
Get my mutual fund contribution details.,download statement
Fetch my portfolio performance summary.,download statement
Download my SIP contribution report.,download statement
Show me my dividend and capital gains report.,download statement
Provide my investment summary.,download statement
Fetch my mutual fund activity report.,download statement
Download my tax-saving contribution report.,download statement
Get my ELSS contribution details.,download statement
Generate my portfolio reconciliation.,download statement
Show me my SIP return summary.,download statement
Download my net earnings statement.,download statement
Fetch my capital gains summary.,download statement
Get my portfolio transaction details.,download statement
Provide a summary of my holdings.,download statement
Download my redemption and withdrawal report.,download statement
Show me my SIP maturity details.,download statement
Generate my investment income report.,download statement
Fetch my mutual fund tax deduction report.,download statement
Get my detailed statement of mutual fund activities.,download statement
Download my contribution history.,download statement
Provide a statement of my net returns.,download statement
Fetch my portfolio performance comparison.,download statement
Show me the details of my holdings.,download statement
Download my mutual fund reconciliation report.,download statement
Get my SIP deduction summary.,download statement
Generate my capital appreciation report.,download statement
Provide my earnings summary.,download statement
Show me my account history.,download statement
Fetch my mutual fund statement with portfolio analysis.,download statement
Download my investment growth summary.,download statement
Get my SIP performance analysis.,download statement
Show me the transaction history of my folios.,download statement
Provide a detailed summary of my investments.,download statement
Download my statement with net returns and gains.,download statement
Get my investment contribution breakdown.,download statement
Fetch the statement of my dividends.,download statement
Show me my mutual fund allocation report.,download statement
Download my SIP growth summary.,download statement
Provide a summary of my earnings and redemptions.,download statement
Get my mutual fund statement with transaction details.,download statement
Fetch my SIP and redemption summary.,download statement
Generate a report on my tax-saving investments.,download statement
Download my mutual fund statement with capital gains.,download statement
Provide my complete folio-wise investment summary.,download statement
Show me the returns from my mutual funds.,download statement
Get my account statement with SIP performance.,download statement
Fetch my tax statement with deductions.,download statement
Download my holdings report with performance details.,download statement
Provide a detailed breakdown of my contributions.,download statement
