sentences,category
"I want to send money to my friend, 500 rupees",Payment
Give jyoti 50 rupees,Payment
Jyoti's payment needs to be processed,Payment
payment for Ruby needs to be processed,Payment
Process a payment of 600 rupees,Payment
Make a payment of 50 rupees,Payment
Make a transaction of 50 rupees,Payment
Pay to mobile contact,Payment
I want to transfer 100 rs to shikha,Payment
I want to transfer 100 rupees to shikha,Payment
I want to transfer Rs 100 to shikha,Payment
I would like to Do a payment,Payment
Please send Rs. 3000 to Rohit through UPI.,Payment
Pay Rs. 450 to Karan’s UPI directly.,Payment
Assist me in sending Rs. 1200 to Priya via RTGS.,Payment
Make a fund transfer of 2000 rupees to Sanjay Kumar.,Payment
Settle the pending amount of Rs. 5200 for my last order.,Payment
Pay Rs. 650 to the electrician today.,Payment
Transfer 2000.75 rupees to Sita at the earliest.,Payment
Please process a payment of Rs. 4300 to the landlord.,Payment
Send the required amount of Rs. 4100 to Olivia via NEFT.,Payment
Kindly transfer the due amount of Rs. 7200 to Pranav Rao.,Payment
Make an IMPS payment of Rs. 6000 to Varun.,Payment
Pay Rs. 999 for my internet bill via UPI.,Payment
Please clear the outstanding balance of Rs. 4300 for me.,Payment
Transfer 4500 rupees to my Paytm wallet.,Payment
Move Rs. 2000 to my emergency fund.,Payment
Can you settle Rs. 6200 for my pending bills?,Payment
Pay Rs. 750 to my landlord immediately.,Payment
Send 5400 rupees to my friend’s GPay.,Payment
Pay Rs. 500 for my mobile recharge.,Payment
Transfer Rs. 9200 to my travel fund.,Payment
Settle Rs. 4500 for the electricity bill.,Payment
Please process Rs. 3600 for my water bill payment.,Payment
Transfer Rs. 7800 to my mutual fund investment.,Payment
Pay Rs. 150 for my DTH recharge today.,Payment
Can you send 2000 rupees to my younger brother?,Payment
Move Rs. 7300 to my child’s education fund.,Payment
Transfer 2700 rupees to my supplier.,Payment
Kindly process Rs. 5900 for my business expenses.,Payment
Pay Rs. 2500 to the wedding planner.,Payment
Pay Rs. 9800 for my employee’s salary.,Payment
Can you send Rs. 2900 to my domestic helper?,Payment
Move 8300 rupees to my friend’s Paytm.,Payment
Pay Rs. 5100 for my insurance premium.,Payment
Kindly send Rs. 1250 to my business partner.,Payment
Move 5600 rupees to my company’s payroll.,Payment
Pay Rs. 2600 for my internet service.,Payment
Transfer Rs. 6700 to my cousin’s fixed deposit.,Payment
Kindly send 9000 rupees to my vendor.,Payment
Process Rs. 1500 for my mother’s hospital bill.,Payment
Pay Rs. 6800 for my son’s tuition fees.,Payment
Pay Pramit.,Payment
Pay Rohit.,Payment
Transfer funds to Mom.,Payment
Send money to Dad.,Payment
Pay to Sita.,Payment
Transfer to Karan.,Payment
Send payment to Rani.,Payment
Pay Sneha.,Payment
Transfer to Olivia.,Payment
Send money to Arjun.,Payment
Pay to Aman.,Payment
Transfer to Neha.,Payment
Send money to Pranav.,Payment
Pay to Sanjay.,Payment
Transfer funds to my wife.,Payment
Send money to my brother.,Payment
Pay to my friend.,Payment
Transfer to my cousin.,Payment
Send funds to my colleague.,Payment
Pay my supplier.,Payment
Transfer to my landlord.,Payment
Send money to the electrician.,Payment
Pay my doctor.,Payment
Send money to my business partner.,Payment
Pay the courier.,Payment
Transfer to my advisor.,Payment
Send payment to the vendor.,Payment
Pay my coach.,Payment
Transfer funds to the charity.,Payment
Settle my electricity bill of 1200 through VPA,Payment
Transfer 700 to Rahul from my savings.,Payment
Ensure that 2500 reaches Arjun today.,Payment
Send 300 to my roommate via UPI.,Payment
Make sure Priya gets her 450 on time.,Payment
Give 600 to my landlord via direct transfer.,Payment
I need to send 1500 to my sister today.,Payment
Process a payment of 2000 to my father.,Payment
Send 1000 to Akash through my credit card.,Payment
Pay my gym fees of 2200 via VPA,Payment
Make sure 125 reaches Aryan before noon.,Payment
Arrange for 4000 to be sent to my friend.,Payment
Can you process 1300 for my driver’s salary?,Payment
Move 300 to my secondary wallet.,Payment
Please transfer 250 to Ananya now.,Payment
Settle my internet bill of 900 using UPI.,Payment
I want to pay 2750 to my tutor today.,Payment
Please send 420 to my niece.,Payment
Give 3000 to Sunil using my UPI,Payment
Process 6000 for my brother's education fees.,Payment
Settle my credit card dues of 9500 today.,Payment
Pay my restaurant bill of 2700.,Payment
Arrange for 1350 to be sent to my maid.,Payment
Move 2250 to my father’s savings.,Payment
Ensure 8000 is wired to my lawyer.,Payment
Transfer 3700 to my mom through UPI.,Payment
I need to send 125 to Rajesh today.,Payment
Give 90 to my colleague from my available balance.,Payment
Pay my mobile bill of 500 using my linked wallet.,Payment
Pay my mobile bill of 500 using my linked wallet.,Payment
I’ve just sent 70 rupees and 10 paise to your wallet.,Payment
Please pay Kavita 200 rupees and 50 paise for the groceries.,Payment
Send 500 rupees and 99 paise to my brother via UPI.,Payment
"I transferred 1,000 rupees and 15 paise by mistake.",Payment
Can you send 60 rupees and 80 paise to the shopkeeper?,Payment
I need to pay 125 rupees and 35 paise to the courier guy.,Payment
Don’t forget to transfer the remaining 45 paise today.,Payment
He’s asking for 350 rupees and 20 paise as the final amount.,Payment
Please process a payment of 75 rupees and 65 paise to Swati.,Payment
Pay 90 rupees and 90 paise to the vendor through Paytm.,Payment
I made a NEFT transfer of 220 rupees and 10 paise this morning.,Payment
Pay the driver 70 rupees and 50 paise for the trip.,Payment
I transferred exactly 40 rupees and 40 paise using GPay.,Payment
He told me to send 300 rupees and 5 paise for the service.,Payment
I gave the electrician 180 rupees and 75 paise via UPI.,Payment
Please make the final payment of 999 rupees and 99 paise.,Payment
You only sent 200 rupees — the 60 paise is still pending.,Payment
Transfer 50 rupees and 20 paise to the NGO donation link.,Payment
Transfer 200 rupees to Aman.,Payment
Send Rs. 250.50 to Meena.,Payment
Pay 100 rupees and 20 paise to Arjun.,Payment
Send 150 rupees to Priya.,Payment
I want to transfer Rs. 75.25 to Sunita.,Payment
Please give Karan 90 rupees from my wallet.,Payment
Transfer Rs 350 and 10 paise to Varsha.,Payment
Give 600 rupees to Nikhil.,Payment
I need to send Rs. 1000 to Deepak.,Payment
Pay Kavya 60 rupees and 50 paise.,Payment
Give Rs. 45.30 to Anjali.,Payment
Send 70 rupees to Rahul.,Payment
I want to pay Rs 20 and 5 paise to Shreya.,Payment
Please transfer 99 rupees to Ketan.,Payment
Give Rs. 110 and 90 paise to Neha.,Payment
Pay 500.75 rupees to Harish.,Payment
I wish to give Rs. 10 to Aarti.,Payment
Send 199 rupees and 99 paise to Mayank.,Payment
Transfer Rs 88.80 to Ravi.,Payment
Please give Rs. 33.33 to Ruchi.,Payment
I want to transfer 149 rupees and 1 paise to Sneha.,Payment
Pay Rs 301 to Vivek.,Payment
Give 72.60 rupees to Tanya.,Payment
Send 215 rupees to Raghav.,Payment
Give Rs. 500 to Shraddha.,Payment
I want to give 25 rupees to Sanjay.,Payment
Please pay Rs. 300 and 10 paise to Juhi.,Payment
Give Rs. 80.40 to Tanmay.,Payment
Pay 20 rupees and 50 paise to Ritika.,Payment
Transfer 100 rupees to Suman.,Payment
Send Rs. 140.05 to Shravan.,Payment
Give 600.10 to Manisha.,Payment
I need to pay Rs. 210.90 to Gauri.,Payment
Transfer Rs. 37.25 to Aditya.,Payment
Pay 400 rupees to Preeti.,Payment
Send Rs 65.75 to Avni.,Payment
Give 150 rupees to Pratik.,Payment
I want to pay 79 rupees to Vandana.,Payment
Please transfer Rs. 999.99 to Bhavesh.,Payment
Give Rs. 305 to Rina.,Payment
Pay 50 rupees to Zoya.,Payment
Transfer 123 rupees and 45 paise to Rajeev.,Payment
I need to give Rs. 600.60 to Mahima.,Payment
Send Rs. 19.19 to Kunal.,Payment
Pay 44 rupees to Hina.,Payment
Transfer Rs. 84.84 to Sachin.,Payment
Give Rs 700 to Rekha.,Payment
I want to send 59 rupees and 2 paise to Arvind.,Payment
Pay Rs 180 to Jaya.,Payment
Transfer 5000 rupees to Ankit’s bank account.,Bank Transfer
I want to send 2000 rs to Riya’s account.,Bank Transfer
Make a bank transfer of 45000 rupees to Nikhil.,Bank Transfer
Send 300 rs on Meera’s account.,Bank Transfer
Pay 12000 rupees to Aditya’s bank.,Bank Transfer
Bank transfer 7000 rs to Priya’s account.,Bank Transfer
Do a 15000 rupees transfer to Tushar’s bank account.,Bank Transfer
I need to pay 2500 rs to Shalini through bank.,Bank Transfer
Send 900 rs to Sumit in his bank account.,Bank Transfer
Transfer funds to Neha’s bank.,Bank Transfer
Fund transfer using a bank account to Alok bank account,Bank Transfer
Please transfer 6000 rs to Ritu’s account.,Bank Transfer
Make a payment to Deepak of 20000 rupees via bank.,Bank Transfer
Transfer 350 rs to Harsh in his bank account.,Bank Transfer
Initiate a bank transfer of 1800 rupees to Asha.,Bank Transfer
Send 4200 rupees to Karan’s account.,Bank Transfer
I want to make a bank transfer of 500 rupees to Rani.,Bank Transfer
Transfer funds through my account to Suraj bank account,Payment
Pay 4800 rupees to Ritika on her bank account.,Bank Transfer
Send 999 rs to Yash via bank.,Bank Transfer
Make a bank payment of 3700 rs to Tanvi.,Bank Transfer
Transfer 10500 rupees from my account to Kapil.,Payment
Send money to Neetu’s account via bank.,Bank Transfer
Bank transfer 23000 rupees to Sahil.,Bank Transfer
Pay 2900 rupees to Shruti’s bank account.,Bank Transfer
Transfer 8800 rs to Devanshi in her bank.,Bank Transfer
I need to make a transfer to Anjali’s account of 5100 rupees.,Bank Transfer
Send money to Manoj’s bank account.,Bank Transfer
Make a payment of 7500 rupees to Tarun.,Payment
Do a transfer of 9700 rs to Sneha.,Payment
Bank transfer 3200 rupees to Priyansh.,Bank Transfer
I want to pay 1500 rs to Jyoti’s account.,Bank Transfer
Send 26000 rupees to Arvind’s bank account.,Bank Transfer
Make a payment to Ruchi’s bank with 3100 rs.,Bank Transfer
Transfer 4300 rupees to Kavita from my account.,Payment
Send 2100 rs from my bank account to Mayank.,Payment
Pay 9999 rupees to Mohit’s bank.,Bank Transfer
Do a bank payment of 14000 rs to Sheetal.,Bank Transfer
I want to send 6500 rupees to Aakash’s account.,Bank Transfer
Transfer money to Lavanya’s bank account.,Bank Transfer
Bank transfer 3900 rs to Sanjay.,Bank Transfer
Pay 7200 rupees to Karishma’s account.,Bank Transfer
Initiate a transfer to Bhavya’s bank for 8900 rupees.,Bank Transfer
Transfer 15000 rupees through bank to Gaurav.,Bank Transfer
Send 3300 rs to Kiran on her bank account.,Bank Transfer
Make a 6000 rs bank transfer to Shreya.,Bank Transfer
I want to fund transfer 4100 rupees to Dev.,Payment
Pay 2750 rs from my account to Isha.,Payment
Send 3500 rupees to Varun’s bank.,Bank Transfer
Make a payment of 50000 rupees to Deepali.,Payment
Transfer 21000 rupees to Sunita’s account.,Bank Transfer
Do a 9500 rs transfer to Shantanu via bank.,Bank Transfer
Bank transfer 2700 rs to Ankita.,Bank Transfer
Send 5800 rupees on Vikram’s account.,Bank Transfer
I need to pay 1200 rs to Komal’s bank account.,Bank Transfer
Transfer money to Rahul’s account.,Bank Transfer
Make a bank transfer of 37000 rupees to Tanmay.,Bank Transfer
Send funds to Snehal in her bank.,Bank Transfer
Pay 1450 rupees to Kartik’s bank account.,Bank Transfer
Transfer 7600 rs through bank to Priyanka.,Bank Transfer
Send 480 rs to Mahesh via bank transfer.,Bank Transfer
I want to send 5200 rs on Reena’s bank account.,Bank Transfer
Transfer 10100 rupees to Vipul.,Payment
Fund transfer 3300 rs to Shweta’s bank.,Bank Transfer
Bank transfer 1400 rupees to Devika.,Bank Transfer
Pay 4999 rs to Yuvraj through bank account.,Bank Transfer
Make a payment of 11500 rupees to Swati.,Payment
Send 275 rs to Pooja’s bank.,Bank Transfer
I want to make a payment to Dinesh of 8100 rs via bank.,Bank Transfer
Transfer 4700 rupees to Rajni’s account.,Bank Transfer
Bank transfer 35000 rs to Harshit.,Bank Transfer
Send 8700 rupees from my account to Radhika.,Payment
Make a 4400 rupees payment to Himanshu on his account.,Bank Transfer
Transfer 1600 rs to Shagun’s bank.,Bank Transfer
Pay 2700 rs via bank to Iqbal.,Bank Transfer
Fund transfer 9900 rupees to Simran.,Payment
Send money to Sandeep’s account.,Bank Transfer
Make a transfer of 7800 rupees to Ishita.,Payment
Do a bank transfer of 31000 rs to Bharat.,Bank Transfer
Pay 18000 rs to Mehul in his account.,Bank Transfer
I want to send 420 rs to Geeta’s bank account.,Bank Transfer
Make a payment of 2400 rupees to Yashika.,Payment
Transfer 6900 rs to Tania through bank.,Bank Transfer
Bank transfer 8300 rupees to Parth.,Bank Transfer
Send 200 rs to Dimple’s account.,Bank Transfer
Pay 12000 rs via bank to Pranav.,Bank Transfer
Transfer 8500 rupees to Mahima.,Payment
I want to do a bank transfer of 7600 rs to Shravan.,Bank Transfer
Send 1800 rupees to Diksha’s bank account.,Bank Transfer
Pay 3100 rs from my bank account to Ritesh.,Payment
Transfer 13400 rs to Tanisha’s account.,Bank Transfer
Make a payment to Pratham of 4500 rs via bank.,Bank Transfer
Send 4000 rupees to Zoya on her bank account.,Bank Transfer
Bank transfer 5600 rs to Kunal.,Bank Transfer
Do a 9200 rupees transfer to Palak.,Payment
Pay 8700 rs to Vishal’s bank.,Bank Transfer
Transfer money to Aarushi’s bank account.,Bank Transfer
I want to send 2200 rs to Chirag’s account.,Bank Transfer
Fund transfer 41000 rupees to Naina via bank.,Bank Transfer
Send 9000 rupees from my account to Bhavik.,Payment
Scan and pay 100 rupees,Scan and Pay
Scan the QR to pay,Scan and Pay
Open scanner to send 500 rupees,Scan and Pay
Please scan to pay the amount,Scan and Pay
Scan QR code for payment,Scan and Pay
Scan and complete the transaction,Scan and Pay
Can you scan and pay now?,Scan and Pay
Open my QR scanner,Scan and Pay
Make payment by scanning QR,Scan and Pay
Scan to send money,Scan and Pay
Use the scanner to transfer 200 rupees,Scan and Pay
Pay 300 by scanning,Scan and Pay
Scan QR code to pay Shreya,Scan and Pay
Scan the UPI to complete the payment,Scan and Pay
I want to pay by scanning,Scan and Pay
Scan the code for 100 rupees,Scan and Pay
Kindly scan this code,Scan and Pay
Scan and transfer 1000,Scan and Pay
Please scan for UPI transfer,Scan and Pay
Scan QR for 250 payment,Scan and Pay
Scan this to pay,Scan and Pay
Pay using QR scanner,Scan and Pay
Can you scan and send 50 rupees?,Scan and Pay
Let me pay via scan,Scan and Pay
Scan and pay through UPI,Scan and Pay
Open QR and make the payment,Scan and Pay
Scan for transferring money,Scan and Pay
Pay 400 by scanning the QR,Scan and Pay
Transfer 600 through scan,Scan and Pay
Initiate scan to pay 500,Scan and Pay
Scan to send funds,Scan and Pay
Do a scan and pay 200 rupees,Scan and Pay
Make a payment through scanning,Scan and Pay
Use scanner for 150 rupees payment,Scan and Pay
Please use QR code to send 700,Scan and Pay
Scan and do UPI transaction,Scan and Pay
Pay now via QR scan,Scan and Pay
Open scanner to make payment,Scan and Pay
Transfer via code scan,Scan and Pay
Pay 5000 by scanning QR,Scan and Pay
Scan and pay through UPI,Scan and Pay
Initiate a QR scan to transfer,Scan and Pay
Open scanner and send money,Scan and Pay
Do scan and pay,Scan and Pay
Scan and make UPI transfer,Scan and Pay
Use QR scan for 900 rupees,Scan and Pay
Scan for payment now,Scan and Pay
Complete the payment via QR scan,Scan and Pay
Scan the UPI and pay,Scan and Pay
Use QR to send money,Scan and Pay
Scan and finish the transaction,Scan and Pay
Scan this code to pay 800,Scan and Pay
Please scan this to transfer funds,Scan and Pay
Make a payment of 60 rupees via scan,Scan and Pay
Scan and pay Sonali,Scan and Pay
Transfer 3000 by scanning,Scan and Pay
Scan to send 70 rupees,Scan and Pay
QR scan to pay Rishabh,Scan and Pay
I will pay after scanning,Scan and Pay
Let me scan to pay,Scan and Pay
Scan QR and send 400,Scan and Pay
Open scanner and transfer funds,Scan and Pay
Can you pay after scanning?,Scan and Pay
Please initiate payment via QR,Scan and Pay
Do a quick scan and pay,Scan and Pay
Use QR for quick transfer,Scan and Pay
Send 120 rupees via scan,Scan and Pay
Open scanner now,Scan and Pay
Make a QR scan payment,Scan and Pay
Scan and pay to Rahul,Scan and Pay
Transfer via QR scanner,Scan and Pay
Pay using the scanned code,Scan and Pay
Scan QR and pay to Pratik,Scan and Pay
Scan and pay through scanner,Scan and Pay
QR scan for 90 rupees,Scan and Pay
Transfer using scanned UPI,Scan and Pay
Use scanner for 220 rupees,Scan and Pay
Scan QR to send to Neha,Scan and Pay
Make the transaction via scan,Scan and Pay
I want to scan and pay now,Scan and Pay
Transfer to Priya by scanning QR,Scan and Pay
Complete UPI payment via scanner,Scan and Pay
Scan and send funds,Scan and Pay
Scan to transfer 500,Scan and Pay
Pay via scanner,Scan and Pay
Use QR scanner for UPI,Scan and Pay
Send 600 through QR code,Scan and Pay
Initiate a scan now,Scan and Pay
Let’s scan and complete payment,Scan and Pay
Can you initiate scan to pay?,Scan and Pay
Pay Riya using QR scan,Scan and Pay
Open UPI scanner,Scan and Pay
Scan this and pay to Shyam,Scan and Pay
Make QR-based transfer,Scan and Pay
Scan and complete 450 rupees transfer,Scan and Pay
Pay after scanning QR,Scan and Pay
Scan QR and make payment,Scan and Pay
Open scanner for QR payment,Scan and Pay
QR code scan and pay,Scan and Pay
Start scanner and pay,Scan and Pay
Make the payment through scanning,Scan and Pay
Please pay after QR scan,Scan and Pay
Scan to pay 100,Scan and Pay
Send payment via QR scanner,Scan and Pay
At 8745123698 confirm Rs 9999 payment,Payment
On 6587451236 deposit rupees 350,Payment
For 6987451236 ensure Rs 11000 is sent,Payment
To 7456981234 pay 49000 rs immediately,Payment
At 8529631478 process rupees 3000,Payment
For 6985741236 transfer Rs 28000 now,Payment
Number 7845963214 should receive Rs 10,Payment
To 6584123698 send Rs 750 quickly,Payment
On 8541236987 deposit rupees 4000,Payment
For 7894521369 confirm Rs 50000 payment,Payment
To 9524783651 process Rs 1800 today,Payment
At 8745123698 pay Rs 72000 immediately,Payment
On 6587451236 ensure rupees 150 is sent,Payment
For 6987451236 transfer Rs 12500 now,Payment
To 7456981234 process 4500 rs,Payment
Number 8529631478 should get Rs 35000,Payment
On 6985741236 pay rupees 65000,Payment
To 7845963214 send Rs 300 now,Payment
For 6584123698 arrange a transfer of Rs 55000,Payment
At 8541236987 ensure Rs 99 is sent,Payment
To 7894521369 process Rs 8800,Payment
Number 9524783651 should receive Rs 250,Payment
On 8745123698 deposit Rs 37500 today,Payment
For 6587451236 pay 23000 rs,Payment
At 6987451236 confirm Rs 41000 transfer,Payment
To 7456981234 send Rs 3400 instantly,Payment
On 8529631478 process Rs 15000,Payment
For 6985741236 deposit Rs 49500 now,Payment
At 7845963214 transfer rupees 60,Payment
To 6584123698 pay Rs 8100 immediately,Payment
Number 8541236987 should get Rs 99999,Payment
On 7894521369 send Rs 6200,Payment
For 9524783651 ensure Rs 78000 is paid,Payment
At 8745123698 process Rs 17500,Payment
To 6587451236 confirm Rs 9250 transfer,Payment
Number 6987451236 should receive Rs 50,Payment
Send 500 rupees to 9876543210,Payment
Transfer 1200 rupees to ankit@upi,Payment
Pay 300 rupees to 9911223344,Payment
Make a payment of 450 rupees to shruti@ybl,Payment
Send 800 rupees to 9090909090,Payment
Transfer 6000 rupees to neha@oksbi,Payment
Pay 750 rupees to 9988776655,Payment
Send 950 rupees to amit@okhdfcbank,Payment
Transfer 999 rupees to 9123456789,Payment
Pay 70 rupees to rohit@upi,Payment
Send 400 rupees to 9000012345,Payment
Transfer 550 rupees to tina@paytm,Payment
Make a payment to 9876543210 of 340 rupees,Payment
Send 1000 rupees to rajiv@ybl,Payment
Transfer 120 rupees to 9090909090,Payment
Pay 660 rupees to alok@upi,Payment
Transfer 9900 rupees to nisha@okicici,Payment
Send 330 rupees to 9303030303,Payment
Pay 199 rupees to 9887766554,Payment
Transfer 875 rupees to tarun@oksbi,Payment
Send 12000 rupees to 9765432100,Payment
Make a payment of 399 rupees to preeti@upi,Payment
Transfer 760 rupees to 8899776655,Payment
Pay 2100 rupees to amit.verma@okaxis,Payment
Send 99 rupees to 9090909999,Payment
Transfer 6700 rupees to 9876501234,Payment
Pay 880 rupees to sneha@paytm,Payment
Send 540 rupees to 9321654780,Payment
Transfer 305 rupees to harsh@upi,Payment
Pay 475 rupees to 9900112233,Payment
Send 210 rupees to manish@oksbi,Payment
Transfer 4500 rupees to 9933445566,Payment
Pay 1250 rupees to rahul.k@okhdfc,Payment
Send 180 rupees to 9876547890,Payment
Transfer 730 rupees to bhavna@ybl,Payment
Pay 350 rupees to 9000099999,Payment
Send 620 rupees to anjali@paytm,Payment
Transfer 1200 rupees to shivani@okaxis,Payment
Send 770 rupees to 9990011223,Payment
Pay 50 rupees to kapil@upi,Payment
Transfer 9999 rupees to 8765432109,Payment
Send 640 rupees to 9111122233,Payment
Pay 1110 rupees to vikram@oksbi,Payment
Send 450 rupees to 9345612345,Payment
Transfer 3300 rupees to 9091001010,Payment
Send 200 rupees to 9911223344,Payment
Pay 600 rupees to rupali@upi,Payment
Transfer 305 rupees to sumit@okaxis,Payment
Send 875 rupees to 9234567890,Payment
Pay 730 rupees to jatin@paytm,Payment
Send 2100 rupees to 9080706050,Payment
Transfer 400 rupees to 9800112233,Payment
Send 505 rupees to aditi@ybl,Payment
Pay 310 rupees to shreya@upi,Payment
Transfer 8800 rupees to 9023456789,Payment
Send 920 rupees to varun@oksbi,Payment
Make a transfer of 3100 rupees to 9909090909,Payment
Pay 430 rupees to tanvi@okhdfc,Payment
Send 780 rupees to 9776554433,Payment
Transfer 570 rupees to kavita@upi,Payment
Pay 950 rupees to 8887776665,Payment
Send 1150 rupees to mayank@okaxis,Payment
Transfer 299 rupees to 9011223344,Payment
Send 3600 rupees to nikhil@ybl,Payment
Pay 150 rupees to 9800765432,Payment
Transfer 1700 rupees to himanshi@oksbi,Payment
Send 2500 rupees to arun@paytm,Payment
Pay 375 rupees to 9123456780,Payment
Transfer 680 rupees to 9112233445,Payment
Send 440 rupees to abhishek@upi,Payment
Pay 400 rupees to ritu@ybl,Payment
Transfer 930 rupees to karan@oksbi,Payment
Send 2100 rupees to 9900112233,Payment
Make a UPI transfer of 580 rupees to shraddha@upi,Payment
Pay 845 rupees to ramesh.k@okaxis,Payment
Send 720 rupees to priya@oksbi,Payment
Transfer 3999 rupees to 9087654321,Payment
Send 199 rupees to sameer@paytm,Payment
Pay 1050 rupees to 9345678910,Payment
Transfer 620 rupees to prachi@upi,Payment
Send 800 rupees to 9098765432,Payment
Transfer 1450 rupees to swati@okhdfc,Payment
Pay 400 rupees to yash@ybl,Payment
Send 300 rupees to 9876504321,Payment
Transfer 5700 rupees to 9123123123,Payment
Pay 2250 rupees to raghav@oksbi,Payment
Send 190 rupees to tanya@okaxis,Payment
Transfer 650 rupees to rina@upi,Payment
Send 580 rupees to 9887766550,Payment
Pay 1700 rupees to gaurav@paytm,Payment
Transfer 1350 rupees to 9000011122,Payment
Send 2700 rupees to manoj@ybl,Payment
Pay 320 rupees to deepa@oksbi,Payment
Transfer 4400 rupees to 9212345678,Payment
Send 690 rupees to avni@upi,Payment
Pay 830 rupees to 9303011223,Payment
Transfer 2999 rupees to tej@okaxis,Payment
Recharge Akhil’s number with 100 rupees,Recharge
I want to recharge my mom’s phone,Recharge
Please top-up my father's mobile with 299 rupees,Recharge
Recharge 9876543210 with 149 rupees,Recharge
Can you recharge my wife’s number?,Recharge
I need a recharge for my brother,Recharge
Top up my friend’s mobile,Recharge
Recharge this number: 9876543210,Recharge
Do a recharge on my sister’s phone,Recharge
Add 200 rupees top-up on Shivani's number,Recharge
Recharge Sunny's phone with a talktime pack,Recharge
I want to activate the 599 recharge on my number,Recharge
Do a 399 plan recharge for Jyoti,Recharge
Add balance to my phone,Recharge
Help me recharge my mobile,Recharge
I want to do a recharge of 200 rupees for Jyoti,Recharge
Recharge Rahul’s number with 299 rupees,Recharge
Recharge 8870347593 with 200 rupees plan,Recharge
Please recharge 9843980229 with a 199 pack,Recharge
Recharge Shikha's phone with 199 rupees,Recharge
Recharge Akash’s number with 500 rupees,Recharge
Do a recharge for Kumar,Recharge
Add 300 rupees recharge to 9876543210,Recharge
Top up 9765432180 with 500 rupees,Recharge
Recharge 8610193580 for 200 rupees,Recharge
Prepaid recharge for Ravi Sharma with 399 plan,Recharge
Recharge phone number 9786352736 with 399 pack,Recharge
Do the same 199 plan on Jyoti’s number,Recharge
Recharge Sumit’s phone with the earlier pack,Recharge
Recharge 9212345678 with 149 rupees,Recharge
Do a 100 rupees recharge for Meena,Recharge
Recharge uncle’s number with 249 rupees,Recharge
Recharge my Jio number for 299,Recharge
Top up 8899001122 with 100 rupeesRecharge Priya’s phone with 149 rupees,Recharge
Recharge Tarun's number with 349 rupees,Recharge
Put 199 plan on Sneha's mobile,Recharge
Help me with a recharge on 9848022338,Recharge
Recharge my Airtel number with 149,Recharge
Do a prepaid recharge for 9988776655,Recharge
Recharge my cousin's number with a data pack,Recharge
Add internet pack to 9765432123,Recharge
Recharge 8976543210 for 209 rupees,Recharge
Add top-up on 9999999999,Recharge
Recharge mom’s number with 100 rupees again,Recharge
Repeat 299 plan on Jyoti’s number,Recharge
Recharge 9898989898 with 249 rupees,Recharge
Recharge 8765432100 with unlimited pack,Recharge
Please recharge my prepaid number,Recharge
I want to recharge 9612345678 for 199,Recharge
Add voice plan to Nikhil's number,Recharge
Recharge Swati’s mobile with 200 rupees,Recharge
Recharge my main number with 500 rupees,Recharge
Recharge 7839200011 using 100 rupees plan,Recharge
Add 2GB daily plan on Jyoti’s number,Recharge
Recharge 8881234567 with top-up,Recharge
I want to activate unlimited plan for 30 days,Recharge
Recharge 8291029384 with best available pack,Recharge
Recharge my DND number with 399 plan,Recharge
Recharge prepaid number 8210903839,Recharge
Recharge this mobile 8839102200 with 200 rupees,Recharge
Do a talktime recharge on 9700000000,Recharge
Add validity recharge to my number,Recharge
Recharge my other number with 100 rupees,Recharge
Activate 28-day plan for Sunil,Recharge
Recharge Rajni’s number for 449 rupees,Recharge
Top-up 9090909090,Recharge
Add combo pack to 9870000011,Recharge
Recharge Jio number of Ruchi,Recharge
Add booster pack to my phone,Recharge
Do recharge for my office number,Recharge
Recharge number ending with 4321,Recharge
Help me recharge Ankit’s number,Recharge
Top up my extra SIM,Recharge
Add balance on my secondary number,Recharge
Recharge 600 rupees on this phone,Recharge
Recharge wife’s phone with 100 rupees,Recharge
Recharge Riya’s number with 149 rupees,Recharge
Do a net pack recharge on my number,Recharge
Recharge mobile 9000000000,Recharge
Recharge prepaid 8080808080 with 399 rupees,Recharge
Help me activate 3GB daily pack,Recharge
Recharge last known number with 100 rupees,Recharge
Recharge work phone with voice pack,Recharge
Do a data top-up for 9320000000,Recharge
Add internet recharge on my Airtel number,Recharge
Recharge basic 149 plan again,Recharge
Recharge 200 rupees to number 8899889988,Recharge
Add 1.5GB plan for Priya’s phone,Recharge
Recharge school number with 100 rupees,Recharge
Do 199 top-up on grandpa’s mobile,Recharge
Recharge brother-in-law’s number with 300 rupees,Recharge
Recharge prepaid sim with 499,Recharge
Recharge for 30 days pack,Recharge
Recharge 9500123456 with 149 rupees talktime,Recharge
Add a 30-day data plan to my number,Recharge
I want to recharge Neha’s phone with 199 rupees,Recharge
Recharge my SIM with a top-up of 100 rupees,Recharge
Recharge prepaid number 9871234567 with voice pack,Recharge
Please recharge 7894561230 with the best plan under 300 rupees,Recharge
Add 2GB daily data plan for Ankita’s number,Recharge
Recharge this Airtel number with 249 rupees,Recharge
Put balance of 149 rupees in my secondary number,Recharge
Recharge my other mobile with the 399 combo plan,Recharge
Recharge my mom’s Jio number with 100 rupees,Recharge
Please do a recharge for 9012345678 with any available plan,Recharge
Add validity plan of 200 rupees to my number,Recharge
Recharge 8823456789 with internet plan,Recharge
Recharge wife's Jio number with a 28-day plan,Recharge
Help me activate 3-month recharge pack,Recharge
Add a top-up on my cousin’s mobile,Recharge
Recharge family number 9760000000,Recharge
Recharge dad’s number with 100 rupees balance,Recharge
